,weight
BALKRISIND.NS,0.0
BZ=F,0.0
CL=F,0.2
COROMANDEL.NS,0.0
EURUSD=X,0.0
FCL.NS,0.0
GBPUSD=X,0.0
GC=F,0.0
HDFCBANK.NS,0.2
HG=F,0.2
INFY.NS,0.0
LT.NS,0.0
LTTS.NS,0.0
NATCOPHARM.NS,0.0
NG=F,0.0
NIFTYBEES.NS,0.0
RELIANCE.NS,0.0
SI=F,0.0
TCS.NS,0.2
USDINR=X,0.2
USDJPY=X,0.0
